priority_rank,transaction_id,time_step,calibrated_illicit_probability,risk_band,alert,review_decision,queue_reason,in_degree,out_degree,top_feature_contributions
1,378058512,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,0,1,local_feature_053:+0.052683 | local_feature_055:+0.043292 | local_feature_090:+0.029843 | local_feature_047:+0.011327 | local_feature_041:+0.009586
2,378250960,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.081924 | local_feature_055:+0.052683 | local_feature_090:+0.044746 | local_feature_047:+0.012784 | local_feature_041:+0.010430
3,378059038,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,0,1,local_feature_053:+0.059906 | local_feature_055:+0.047784 | local_feature_090:+0.031972 | local_feature_047:+0.014385 | local_feature_041:+0.010871
4,105028135,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.047784 | local_feature_055:+0.044746 | local_feature_090:+0.037886 | local_feature_047:+0.011798 | local_feature_041:+0.010430
5,378060067,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,0,1,local_feature_053:+0.047784 | local_feature_055:+0.046243 | local_feature_090:+0.031972 | local_feature_047:+0.011327 | local_feature_041:+0.009586
6,99914597,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.087093 | local_feature_055:+0.072385 | local_feature_090:+0.027838 | local_feature_047:+0.014952 | local_feature_041:+0.013301
7,85087377,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.054412 | local_feature_055:+0.051003 | local_feature_090:+0.030891 | local_feature_047:+0.011798 | local_feature_041:+0.010871
8,234565902,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_055:+0.047784 | local_feature_053:+0.046243 | local_feature_090:+0.034232 | local_feature_047:+0.011327 | local_feature_041:+0.010430
9,99632900,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.070159 | local_feature_055:+0.059906 | local_feature_090:+0.037886 | local_feature_047:+0.013301 | local_feature_041:+0.011327
10,234565907,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.047784 | local_feature_055:+0.046243 | local_feature_090:+0.031972 | local_feature_047:+0.011798 | local_feature_041:+0.010871
11,234834797,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.063836 | local_feature_055:+0.049370 | local_feature_090:+0.024177 | local_feature_047:+0.012784 | local_feature_041:+0.010001
12,346379224,12,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.063836 | local_feature_055:+0.058023 | local_feature_090:+0.044746 | local_feature_047:+0.012284 | local_feature_041:+0.011798
13,378595611,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.070159 | local_feature_055:+0.054412 | local_feature_090:+0.041881 | local_feature_047:+0.014385 | local_feature_041:+0.010001
14,190427249,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.056192 | local_feature_055:+0.039179 | local_feature_090:+0.034232 | local_feature_047:+0.013301 | local_feature_041:+0.010001
15,190427077,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.052683 | local_feature_055:+0.047784 | local_feature_090:+0.025051 | local_feature_047:+0.013301 | local_feature_041:+0.010001
16,41249231,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.067992 | local_feature_055:+0.049370 | local_feature_090:+0.039179 | local_feature_047:+0.014385 | local_feature_041:+0.012284
17,93935773,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.052683 | local_feature_055:+0.043292 | local_feature_090:+0.043292 | local_feature_047:+0.013301 | local_feature_041:+0.012284
18,190427986,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.067992 | local_feature_055:+0.051003 | local_feature_090:+0.034232 | local_feature_047:+0.016142 | local_feature_041:+0.009586
19,390586210,17,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.063836 | local_feature_055:+0.052683 | local_feature_090:+0.043292 | local_feature_047:+0.014385 | local_feature_041:+0.009586
20,378059031,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,0,1,local_feature_053:+0.051003 | local_feature_055:+0.046243 | local_feature_090:+0.030891 | local_feature_047:+0.011327 | local_feature_041:+0.010001
21,99914083,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.079442 | local_feature_055:+0.074674 | local_feature_090:+0.030891 | local_feature_047:+0.013301 | local_feature_041:+0.011798
22,234574979,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.051003 | local_feature_055:+0.046243 | local_feature_090:+0.044746 | local_feature_047:+0.013301 | local_feature_041:+0.012284
